algName,netName,clusteringName,numberOfRealThreads,convergence,broadcasting,database,elapsedTime(s),shd,dfMM_avg,dfMM_plus,dfMM_minus,iterations,bdeu
cges,andes,HierarchicalClustering,2,c2,ALL_BROADCASTING,andes08,7.539,160.0,346.0,6.0,6.0,6.0,-472344.4514216369
cges,andes,HierarchicalClustering,2,c2,ALL_BROADCASTING,andes09,9.08,153.0,330.0,10.0,10.0,7.0,-471837.2882756361
cges,andes,HierarchicalClustering,2,c2,ALL_BROADCASTING,andes10,7.777,164.0,354.0,10.0,10.0,5.0,-471715.21167130437
cges,andes,HierarchicalClustering,2,c2,ALL_BROADCASTING,andes_ALL,21.003,42.0,84.0,18.0,18.0,7.0,-5126311.638530005
cges,andes,HierarchicalClustering,2,c2,NO_BROADCASTING,andes00,7.58,163.0,350.0,14.0,14.0,7.0,-472182.40458261856
cges,andes,HierarchicalClustering,2,c2,NO_BROADCASTING,andes01,8.019,164.0,354.0,28.0,28.0,6.0,-472289.7296593108
cges,andes,HierarchicalClustering,2,c2,NO_BROADCASTING,andes02,8.12,150.0,326.0,22.0,22.0,8.0,-472017.41520068387
cges,andes,HierarchicalClustering,2,c2,NO_BROADCASTING,andes03,7.599,166.0,368.0,40.0,40.0,6.0,-471062.8548693815
cges,andes,HierarchicalClustering,2,c2,NO_BROADCASTING,andes04,8.305,152.0,328.0,16.0,16.0,8.0,-471030.75603848894
cges,andes,HierarchicalClustering,2,c2,NO_BROADCASTING,andes05,7.565,142.0,306.0,6.0,6.0,6.0,-471649.5212536675
cges,andes,HierarchicalClustering,2,c2,NO_BROADCASTING,andes06,7.214,172.0,372.0,40.0,40.0,5.0,-472695.34178907576
cges,andes,HierarchicalClustering,2,c2,NO_BROADCASTING,andes07,7.691,175.0,374.0,30.0,30.0,7.0,-472149.501793212
cges,andes,HierarchicalClustering,2,c2,NO_BROADCASTING,andes08,7.31,160.0,346.0,6.0,6.0,5.0,-472344.4514216369
cges,andes,HierarchicalClustering,2,c2,NO_BROADCASTING,andes09,8.42,153.0,330.0,10.0,10.0,7.0,-471837.2882756361
cges,andes,HierarchicalClustering,2,c2,NO_BROADCASTING,andes10,7.034,164.0,354.0,10.0,10.0,5.0,-471715.21167130437
cges,andes,HierarchicalClustering,2,c2,NO_BROADCASTING,andes_ALL,20.561,42.0,84.0,18.0,18.0,7.0,-5126311.638530005
cges,andes,HierarchicalClustering,2,c2,PAIR_BROADCASTING,andes00,7.044,246.0,522.0,94.0,94.0,4.0,-473651.67116266076
cges,andes,HierarchicalClustering,2,c2,PAIR_BROADCASTING,andes01,7.688,213.0,458.0,48.0,48.0,4.0,-473497.367719649
cges,andes,HierarchicalClustering,2,c2,PAIR_BROADCASTING,andes02,8.579,228.0,534.0,186.0,186.0,5.0,-474662.4922460762
cges,andes,HierarchicalClustering,2,c2,PAIR_BROADCASTING,andes03,8.464,167.0,360.0,32.0,32.0,7.0,-471120.9207607958
