algName,netName,clusteringName,numberOfRealThreads,convergence,broadcasting,database,elapsedTime(s),shd,dfMM_avg,dfMM_plus,dfMM_minus,iterations,bdeu
cges,andes,HierarchicalClustering,8,c2,BEST_BROADCASTING,andes08,11.055,163.0,352.0,12.0,12.0,17.0,-472468.76110275846
cges,andes,HierarchicalClustering,8,c2,BEST_BROADCASTING,andes09,9.553,153.0,330.0,10.0,10.0,15.0,-471953.09209677624
cges,andes,HierarchicalClustering,8,c2,BEST_BROADCASTING,andes10,10.726,164.0,354.0,10.0,10.0,19.0,-471694.47140264086
cges,andes,HierarchicalClustering,8,c2,BEST_BROADCASTING,andes_ALL,47.273,87.0,208.0,130.0,130.0,16.0,-5129592.2053587
cges,link,HierarchicalClustering,1,c2,BEST_BROADCASTING,link00,424.516,898.0,1830.0,556.0,556.0,6.0,-1125675.1968383125
cges,link,HierarchicalClustering,1,c2,BEST_BROADCASTING,link01,425.333,976.0,2038.0,696.0,696.0,5.0,-1150963.9822840565
cges,link,HierarchicalClustering,1,c2,BEST_BROADCASTING,link02,415.19,962.0,1960.0,644.0,644.0,5.0,-1141799.6554619665
cges,link,HierarchicalClustering,1,c2,BEST_BROADCASTING,link03,417.913,987.0,2024.0,692.0,692.0,6.0,-1143733.4141397867
cges,link,HierarchicalClustering,1,c2,BEST_BROADCASTING,link04,410.473,967.0,1976.0,670.0,670.0,5.0,-1136835.048538122
cges,link,HierarchicalClustering,1,c2,BEST_BROADCASTING,link05,438.771,952.0,1938.0,676.0,676.0,6.0,-1140464.417277376
cges,link,HierarchicalClustering,1,c2,BEST_BROADCASTING,link06,438.333,979.0,1996.0,678.0,678.0,6.0,-1140026.121585102
cges,link,HierarchicalClustering,1,c2,BEST_BROADCASTING,link07,399.739,929.0,1904.0,600.0,600.0,5.0,-1136673.9702109275
cges,link,HierarchicalClustering,1,c2,BEST_BROADCASTING,link08,438.594,1005.0,2082.0,730.0,730.0,6.0,-1154964.9811219007
cges,link,HierarchicalClustering,1,c2,BEST_BROADCASTING,link09,409.897,925.0,1866.0,582.0,582.0,6.0,-1129933.8504797688
cges,link,HierarchicalClustering,1,c2,BEST_BROADCASTING,link10,435.016,921.0,1878.0,598.0,598.0,6.0,-1128579.9759764282
cges,link,HierarchicalClustering,1,c2,BEST_BROADCASTING,link_ALL,529.792,668.0,1368.0,436.0,436.0,5.0,-1.1847254569155417E7
cges,link,HierarchicalClustering,2,c2,BEST_BROADCASTING,link00,225.178,928.0,1894.0,624.0,624.0,10.0,-1129565.1695520028
cges,link,HierarchicalClustering,2,c2,BEST_BROADCASTING,link01,213.068,948.0,2000.0,750.0,750.0,10.0,-1134425.116469066
cges,link,HierarchicalClustering,2,c2,BEST_BROADCASTING,link02,248.509,984.0,2012.0,738.0,738.0,9.0,-1142261.5349840748
cges,link,HierarchicalClustering,2,c2,BEST_BROADCASTING,link03,240.965,991.0,2084.0,808.0,808.0,8.0,-1148079.0821957688
cges,link,HierarchicalClustering,2,c2,BEST_BROADCASTING,link04,231.412,927.0,1922.0,730.0,730.0,11.0,-1137423.220276505
cges,link,HierarchicalClustering,2,c2,BEST_BROADCASTING,link05,235.836,1000.0,2084.0,816.0,816.0,9.0,-1148268.1999215859
cges,link,HierarchicalClustering,2,c2,BEST_BROADCASTING,link06,233.839,972.0,2010.0,738.0,738.0,8.0,-1137988.9105335998
cges,link,HierarchicalClustering,2,c2,BEST_BROADCASTING,link07,236.592,913.0,1908.0,720.0,720.0,10.0,-1137287.5075767862
cges,link,HierarchicalClustering,2,c2,BEST_BROADCASTING,link08,240.828,982.0,2080.0,776.0,776.0,11.0,-1149849.3278983668
cges,link,HierarchicalClustering,2,c2,BEST_BROADCASTING,link09,289.359,905.0,1840.0,708.0,708.0,7.0,-1130413.2532863377
cges,link,HierarchicalClustering,2,c2,BEST_BROADCASTING,link10,258.007,945.0,1958.0,786.0,786.0,13.0,-1126185.375287596
cges,link,HierarchicalClustering,2,c2,BEST_BROADCASTING,link_ALL,346.376,771.0,1654.0,808.0,808.0,9.0,-1.1852011331654266E7
cges,link,HierarchicalClustering,4,c2,BEST_BROADCASTING,link00,142.418,879.0,1832.0,680.0,680.0,13.0,-1129449.5347459496
cges,link,HierarchicalClustering,4,c2,BEST_BROADCASTING,link01,237.39,843.0,1750.0,612.0,612.0,30.0,-1136036.6013767612
cges,link,HierarchicalClustering,4,c2,BEST_BROADCASTING,link02,165.551,972.0,2076.0,846.0,846.0,15.0,-1149541.867800974
cges,link,HierarchicalClustering,4,c2,BEST_BROADCASTING,link03,199.159,948.0,2006.0,824.0,824.0,11.0,-1136429.8517793736
cges,link,HierarchicalClustering,4,c2,BEST_BROADCASTING,link04,174.412,901.0,1890.0,736.0,736.0,13.0,-1119859.1122387408
cges,link,HierarchicalClustering,4,c2,BEST_BROADCASTING,link05,166.778,969.0,2028.0,866.0,866.0,13.0,-1145731.0310240174
cges,link,HierarchicalClustering,4,c2,BEST_BROADCASTING,link06,173.082,966.0,2108.0,868.0,868.0,10.0,-1137263.5281023455
cges,link,HierarchicalClustering,4,c2,BEST_BROADCASTING,link07,166.489,919.0,1902.0,678.0,678.0,17.0,-1140658.4338265993
cges,link,HierarchicalClustering,4,c2,BEST_BROADCASTING,link08,158.05,1036.0,2290.0,1100.0,1100.0,12.0,-1150558.8695508256
cges,link,HierarchicalClustering,4,c2,BEST_BROADCASTING,link09,164.435,893.0,1818.0,656.0,656.0,15.0,-1133699.5023982457
cges,link,HierarchicalClustering,4,c2,BEST_BROADCASTING,link10,158.825,959.0,1992.0,760.0,760.0,10.0,-1139973.2103149693
cges,link,HierarchicalClustering,4,c2,BEST_BROADCASTING,link_ALL,274.825,792.0,1730.0,796.0,796.0,13.0,-1.1857590204035232E7
cges,link,HierarchicalClustering,8,c2,BEST_BROADCASTING,link00,206.991,807.0,1652.0,530.0,530.0,22.0,-1111659.7792478304
cges,link,HierarchicalClustering,8,c2,BEST_BROADCASTING,link01,181.727,895.0,1894.0,690.0,690.0,20.0,-1134090.3823019825
cges,link,HierarchicalClustering,8,c2,BEST_BROADCASTING,link02,178.51,938.0,1966.0,762.0,762.0,21.0,-1138370.995383921
cges,link,HierarchicalClustering,8,c2,BEST_BROADCASTING,link03,169.228,957.0,2036.0,880.0,880.0,19.0,-1147340.6350049379
